# vendor/ollama/bin/ollama serve
time=2026-08-18T23:22:44.943+03:00 level=INFO source=routes.go:1933 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY:http://127.0.0.1:12334 HTTP_PROXY:http://127.0.0.1:12334 LLAMA_ARG_FIT: LLAMA_ARG_FIT_TARGET: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GO_TEMPLATE:true OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_IGPU_ENABLE: OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/home/sergey/.ollama/models OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:true ROCR_VISIBLE_DEVICES: http_proxy:http://127.0.0.1:12334 https_proxy:http://127.0.0.1:12334 no_proxy:]"
time=2026-08-18T23:22:44.943+03:00 level=INFO source=routes.go:1935 msg="Ollama cloud disabled: false"
time=2026-08-18T23:22:44.945+03:00 level=INFO source=images.go:912 msg="total blobs: 0"
time=2026-08-18T23:22:44.945+03:00 level=INFO source=images.go:919 msg="total unused blobs removed: 0"
time=2026-08-18T23:22:44.946+03:00 level=INFO source=routes.go:1990 msg="Listening on 127.0.0.1:11434 (version 0.32.14)"
time=2026-08-18T23:22:44.946+03:00 level=INFO source=model_list_cache.go:112 msg="model list cache hydration complete" models=0 failures=0 elapsed=387.502µs
time=2026-08-18T23:22:44.946+03:00 level=INFO source=runner.go:60 msg="discovering available GPUs..."
time=2026-08-18T23:22:45.293+03:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h18m35.932611361s consecutive_failures=0
time=2026-08-18T23:22:48.152+03:00 level=INFO source=types.go:32 msg="inference compute" id=0 filter_id=0 library=CUDA compute=7.5 name=CUDA0 description="NVIDIA GeForce GTX 1650 SUPER" libdirs=ollama,cuda_v13 driver=13.1 pci_id=0000:01:00.0 type=discrete total="4.0 GiB" available="3.2 GiB"
time=2026-08-18T23:22:48.152+03:00 level=INFO source=routes.go:2040 msg="vram-based default context" total_vram="4.0 GiB" default_num_ctx=4096
[GIN] 2026/08/18 - 23:22:48 | 404 |     523.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:48 | 404 |     417.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:48 | 404 |     307.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:48 | 404 |     460.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:49 | 404 |     616.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:49 | 404 |     370.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:49 | 404 |    2.117306ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:49 | 404 |     287.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:50 | 404 |     707.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:50 | 404 |     393.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:50 | 404 |     325.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:50 | 404 |    1.062703ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:51 | 404 |     355.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:51 | 404 |     551.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:51 | 404 |     365.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:51 | 404 |     374.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:52 | 404 |       329.4µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:52 | 404 |     981.803µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:52 | 404 |     585.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:53 | 404 |     790.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:53 | 404 |     528.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:53 | 404 |     357.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:53 | 404 |     923.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:54 | 404 |     317.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:54 | 404 |     336.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:54 | 404 |     353.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:54 | 404 |     589.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:55 | 404 |     338.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:55 | 404 |     289.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:55 | 404 |     712.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:55 | 404 |     296.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:56 | 404 |     323.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:56 | 404 |     349.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:56 | 404 |     352.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:56 | 404 |     320.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:57 | 404 |     614.303µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:57 | 404 |     519.703µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:57 | 404 |     317.402µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:57 | 404 |     625.004µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:58 | 404 |     613.703µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:58 | 404 |     393.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:58 | 404 |     315.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:58 | 404 |    1.546808ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:59 | 404 |     414.202µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:59 | 404 |     350.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:59 | 404 |     714.803µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:22:59 | 404 |     803.204µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:00 | 404 |     338.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:00 | 404 |     314.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:00 | 404 |     524.103µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:00 | 404 |     366.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:01 | 404 |     313.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:01 | 404 |     342.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:01 | 404 |     687.803µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:01 | 404 |     317.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:02 | 404 |     308.301µs |       127.0.0.1 | POST     "/v1/completions"
