runtime,scenario,profile,prompt_set,prompt_tokens,max_tokens,concurrency,requests_per_run,n_runs,n_failed_total,throughput_tok_s,ttft_ms_p50,ttft_ms_p95,tpot_ms_p50,output_tokens_p50,token_drift_max,peak_vram_mib,vram_baseline_mib,peak_rss_mib,cold_start_s,notes
llamacpp,concurrency_sweep,interactive,short,64,128,1,16,3,0,65.5228873222673,189.90950549994068,218.78578450002806,12.150553660773744,63.0,0.02702702702702703,2344.3671875,565.453125,1538.890625,2.1229711890000544,
llamacpp,concurrency_sweep,interactive,short,64,128,4,16,3,0,91.72630550337036,284.35505650008963,642.4068567499148,33.67275512827101,62.5,0.02702702702702703,2334.6171875,572.640625,1496.078125,2.083917369000119,
llamacpp,concurrency_sweep,interactive,short,64,128,8,32,3,0,99.89690542348806,401.31532700002026,1109.4262528499826,75.9515353574517,63.5,0.02702702702702703,2334.5546875,567.54296875,1690.34375,2.350663720000057,
llamacpp,concurrency_sweep,interactive,short,64,128,16,64,3,0,139.94473384491621,494.6222934999014,2214.2164520498795,95.72810213802671,63.5,0.030303030303030304,2334.5546875,562.91796875,2074.328125,2.3603752629999235,"token counts from ['usage', 'usage(tokenizer_disagrees)']"
llamacpp,prompt_length,longctx,long,2560,128,1,8,3,0,11.303965914624877,6165.418648500008,6254.675047899968,15.032923342568694,83.0,0.019230769230769232,1892.4296875,567.2890625,4428.0546875,2.3614268830001492,
llamacpp,prompt_length,longctx,short,64,128,1,8,3,0,68.39054811168369,184.57172600005833,187.57895290000306,11.856914258065709,61.5,0.02702702702702703,1888.5546875,585.98046875,1392.7578125,2.1079526979999628,
ollama,concurrency_sweep,interactive,short,64,128,1,16,3,0,10.682606207632686,8246.541656999852,10611.935413250307,15.070684666192466,82.5,0.02127659574468085,2145.8671875,556.3515625,1155.2578125,7.37330165100002,
ollama,concurrency_sweep,interactive,short,64,128,4,16,3,0,11.02531081811627,25006.93483200007,34637.30175125022,92.68239383511197,76.0,0.02127659574468085,2143.8046875,558.3515625,1119.24609375,7.5072971399999915,
ollama,concurrency_sweep,interactive,short,64,128,8,32,3,0,15.260296587617576,14633.669811499658,58603.42616339949,264.66447523070144,76.0,0.02702702702702703,2144.3046875,558.3515625,1376.6171875,7.653907050000271,
ollama,concurrency_sweep,interactive,short,64,128,16,64,3,0,21.940866025735513,13707.483408500138,76712.63422454966,438.0540782007853,75.0,0.03125,2144.1796875,558.3515625,1892.078125,7.855676178999602,"token counts from ['usage', 'usage(tokenizer_disagrees)']"
ollama,prompt_length,longctx,long,2560,128,1,8,3,0,7.730795014174313,10319.436287000372,10711.664727850393,18.888481630729174,92.0,0.01282051282051282,1874.1796875,564.5390625,4025.6875,8.818769728000007,
ollama,prompt_length,longctx,short,64,128,1,8,3,0,19.212481339451955,3188.1144654998934,3376.588892650261,14.894378252171109,75.0,0.02127659574468085,1829.8671875,556.5390625,988.41015625,7.461102489000041,
